Total Length of Bwd Packets,Bwd Packet Length Mean,Packet Length Mean,Packet Length Std,Packet Length Variance,Average Packet Size,Avg Bwd Segment Size,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,Label
14449,275,455,132,15085,354,275,7486,60251,63614,BENIGN
10086,348,508,135,19263,486,218,7200,63693,64294,BENIGN
52299,832,1303,306,228622,1460,880,65917,65419,65140,ATTACK
44559,1489,1698,473,176363,1828,1350,40658,65394,65008,ATTACK
9100,349,486,145,10012,393,245,8478,60742,62729,BENIGN
67480,1000,1675,539,219462,1811,1165,67526,65426,65522,ATTACK
52445,1357,1567,526,219882,1731,1033,72650,65195,65404,ATTACK
49905,1278,1768,416,268445,1386,916,49372,65271,65354,ATTACK
46410,1359,1695,448,102894,1952,1332,61165,65123,65059,ATTACK
9423,266,501,122,14501,450,240,9895,62151,60952,BENIGN
69427,985,1315,304,242060,1758,1218,51571,65372,65123,ATTACK
67636,853,1438,377,221942,1737,1302,71561,65226,65530,ATTACK
71538,911,1872,316,231884,1990,1044,71774,65157,65085,ATTACK
75910,1433,1201,332,140417,1323,816,42905,65504,65448,ATTACK
8089,238,529,143,23264,469,318,13062,60956,60941,BENIGN
77435,1173,1889,575,286536,1748,951,43344,65039,65200,ATTACK
64602,889,1560,417,249983,1995,895,47704,65046,65345,ATTACK
12315,289,485,142,19260,520,237,9283,60099,60034,BENIGN
60765,989,1884,529,155062,1978,900,63623,65347,65332,ATTACK
9994,300,524,136,18157,360,219,9924,61405,58148,BENIGN
8699,389,388,111,14135,422,284,13696,63817,58991,BENIGN
58948,827,1233,433,176504,1687,1128,46804,65451,65520,ATTACK
73859,1439,1764,324,162292,1942,931,60411,65006,65029,ATTACK
76876,1134,1749,531,217697,1369,814,67831,65433,65355,ATTACK
12116,224,453,143,7491,533,222,7713,62796,62801,BENIGN
13968,234,458,145,18349,433,326,13263,62292,61790,BENIGN
59245,1338,1949,358,104286,1292,1246,70976,65342,65531,ATTACK
74137,1471,1554,361,256893,1765,1161,68998,65416,65468,ATTACK
65266,1238,1903,525,195813,1608,1311,49281,65399,65345,ATTACK
48651,1406,1332,539,264452,1795,923,62873,65216,65376,ATTACK
13567,356,547,141,14149,409,318,7192,60427,62289,BENIGN
55346,965,1285,502,100919,1539,1040,49137,65220,65503,ATTACK
65163,1240,1770,316,288331,1611,1369,55284,65470,65278,ATTACK
8743,373,351,128,13139,384,304,11948,63427,63827,BENIGN
14663,229,467,120,24856,527,339,7092,60879,61630,BENIGN
11057,235,446,88,16942,395,261,12384,63832,63034,BENIGN
14945,271,422,149,23559,466,295,11276,60456,59118,BENIGN
56401,1348,1649,582,245096,1980,1206,52106,65245,65094,ATTACK
51930,938,1726,496,237431,1314,1194,51518,65398,65014,ATTACK
10116,205,356,90,19852,352,309,9915,64140,58031,BENIGN
50403,1371,1989,386,103773,1696,1052,76709,65196,65221,ATTACK
13481,266,489,82,16298,521,344,8123,64321,61144,BENIGN
71805,1057,1431,407,206013,1729,838,75395,65032,65134,ATTACK
14454,213,523,141,11222,515,330,10515,64088,59896,BENIGN
13663,393,365,144,13644,415,316,12661,61815,61985,BENIGN
57967,1114,1292,317,158652,1751,1336,67605,65441,65153,ATTACK
9243,319,546,144,8557,394,347,9878,64774,63462,BENIGN
48061,816,1539,564,250654,1560,999,66176,65369,65494,ATTACK
61718,1050,1668,385,279252,1598,1210,43347,65163,65531,ATTACK
48637,893,1690,499,126699,1684,1163,48253,65454,65076,ATTACK
8951,338,476,135,7551,521,226,11031,63173,62196,BENIGN
49015,1114,1518,455,202094,1358,1227,55019,65354,65501,ATTACK
41077,1043,1705,567,159018,1329,1037,58291,65369,65055,ATTACK
43004,1327,1772,388,159920,1430,938,48390,65314,65335,ATTACK
78970,1154,1243,388,252077,1329,1347,53400,65004,65046,ATTACK
48554,1460,1546,374,182080,1828,980,62362,65303,65372,ATTACK
9048,339,398,116,10648,425,293,11411,61398,62499,BENIGN
66847,1458,1922,594,242377,1727,925,50276,65265,65022,ATTACK
14537,364,372,89,12887,395,285,11122,60751,64448,BENIGN
73230,902,1692,446,201877,1955,868,68084,65152,65490,ATTACK
11280,242,530,117,12063,433,301,11106,64792,60412,BENIGN
10032,307,508,139,21416,367,238,10118,63189,63910,BENIGN
41231,1311,1875,471,167159,1622,901,52015,65383,65364,ATTACK
10059,355,352,113,13993,433,272,7888,61659,61195,BENIGN
12132,374,356,99,14638,518,213,8760,63134,58749,BENIGN
79356,1200,1213,341,213454,1399,1385,66893,65280,65521,ATTACK
10748,215,527,92,13133,399,239,13762,63486,61294,BENIGN
13455,272,493,121,7570,440,318,11274,65529,62500,BENIGN
14482,363,505,133,6324,468,284,7438,64590,58057,BENIGN
48174,1383,1943,586,283339,1302,805,62820,65005,65232,ATTACK
12053,370,380,115,21209,361,271,11782,64785,59951,BENIGN
65276,1064,1462,568,109518,1346,1327,63022,65146,65349,ATTACK
46161,1131,1707,554,243585,1710,1046,64345,65231,65228,ATTACK
8425,210,443,142,16784,454,308,12795,62143,61407,BENIGN
62846,1253,1431,520,252149,1349,1139,49652,65088,65480,ATTACK
64885,821,1889,434,223973,1266,1356,67386,65144,65432,ATTACK
54490,1217,1921,338,196187,1603,902,53068,65227,65448,ATTACK
9192,292,370,138,24584,482,281,7128,63614,61245,BENIGN
50840,1127,1790,515,115002,1469,1356,71561,65478,65024,ATTACK
11954,203,486,95,15014,480,270,9548,62018,58490,BENIGN
57447,908,1285,502,195900,1761,1182,46060,65328,65042,ATTACK
51639,1217,1243,546,111308,1964,1074,74733,65231,65448,ATTACK
49655,1089,1509,349,274867,1710,1257,74589,65343,65030,ATTACK
11161,312,480,139,6525,515,259,7288,64752,60809,BENIGN
41188,840,1855,571,298756,1637,1017,44031,65280,65181,ATTACK
44722,1475,1561,589,169918,1645,1058,64196,65041,65422,ATTACK
62167,1485,1395,475,252960,1684,942,65904,65106,65362,ATTACK
8922,349,532,80,15358,488,263,9522,64561,60544,BENIGN
52381,1392,1336,518,145325,1867,1229,68114,65425,65036,ATTACK
50867,1019,1817,580,115226,1519,1110,43395,65183,65123,ATTACK
47796,1480,1245,307,153742,1770,994,44587,65511,65500,ATTACK
41530,1350,1428,591,189491,1524,925,43163,65504,65499,ATTACK
14725,374,539,115,12095,395,251,7872,61827,58968,BENIGN
75030,838,1259,512,241019,1314,1239,66777,65431,65051,ATTACK
41923,1135,1208,583,250641,1426,1257,77618,65361,65509,ATTACK
11434,365,429,90,8494,375,298,8264,63762,59425,BENIGN
52313,1262,1910,402,140439,1325,1175,48506,65497,65034,ATTACK
13628,368,519,137,22246,482,209,13584,62795,62754,BENIGN
64049,1018,1758,460,102465,1729,1103,44253,65062,65415,ATTACK
51791,810,1447,385,119446,1780,1197,48141,65340,65089,ATTACK
41525,1339,1916,319,251865,1367,930,71904,65133,65136,ATTACK
54886,1237,1537,397,147298,1618,1025,77209,65171,65185,ATTACK
11841,353,351,110,14638,534,296,10247,64270,59609,BENIGN
77879,954,1426,513,154173,1567,1090,63909,65166,65331,ATTACK
10296,246,522,92,9595,353,258,11629,63311,64340,BENIGN
13648,352,419,104,21571,422,264,8350,63494,63605,BENIGN
14325,248,350,91,14806,544,311,13266,60827,59552,BENIGN
55131,1480,1835,376,140999,1613,881,58120,65251,65206,ATTACK
47464,1125,1670,367,116439,1417,1282,45028,65234,65280,ATTACK
8618,336,427,93,22411,437,284,13477,60872,58565,BENIGN
58122,818,1783,353,191906,1947,969,48725,65133,65215,ATTACK
9865,252,476,122,7602,485,300,13992,60245,60763,BENIGN
14121,208,422,86,13401,489,294,10889,61366,60471,BENIGN
41914,1233,1260,491,117516,1531,1097,48809,65159,65508,ATTACK
74744,1225,1893,350,122015,1316,875,44177,65476,65167,ATTACK
11427,295,388,113,16061,440,278,10867,62756,58737,BENIGN
8628,296,439,81,11771,478,242,9641,62297,59415,BENIGN
8197,203,531,148,17431,460,266,10920,63844,64378,BENIGN
13813,280,450,103,8918,454,302,8586,62964,61718,BENIGN
49022,1007,1516,487,117590,1348,1245,63241,65005,65132,ATTACK
65831,1186,1756,536,189274,1671,1354,77860,65351,65258,ATTACK
8978,215,416,83,17091,398,292,12605,65088,59214,BENIGN
57317,1217,1291,565,123556,1991,1288,72338,65187,65357,ATTACK
54082,1190,1953,521,196359,1738,994,77865,65281,65314,ATTACK
9302,222,479,92,6877,425,255,11867,61477,60037,BENIGN
46599,860,1720,504,268833,1324,929,78833,65329,65214,ATTACK
66531,843,1378,518,242266,1399,806,62319,65530,65258,ATTACK
66986,1398,1423,520,270119,1411,1158,59786,65519,65420,ATTACK
74441,1390,1754,589,247577,1585,1121,47721,65327,65194,ATTACK
76104,844,1851,421,286982,1506,819,66061,65005,65390,ATTACK
46380,1307,1457,421,212002,1349,1000,62218,65127,65087,ATTACK
55289,1379,1911,331,143106,1440,825,67335,65333,65289,ATTACK
14294,393,540,93,23834,419,217,11116,64934,58584,BENIGN
9022,352,487,85,6636,368,203,10735,60915,62554,BENIGN
12916,257,531,144,19351,442,203,8361,63179,64172,BENIGN
8900,271,357,107,22480,496,252,12572,64434,63899,BENIGN
74536,1242,1475,412,230343,1398,1073,75682,65268,65164,ATTACK
62136,824,1439,523,276919,1866,820,43676,65373,65305,ATTACK
59422,1482,1811,478,102682,1999,1023,45840,65493,65444,ATTACK
12507,318,388,102,6011,352,338,13381,62341,59615,BENIGN
43046,1340,1847,370,118309,1346,1139,78541,65200,65527,ATTACK
48332,1169,1673,370,130859,1910,1183,41080,65311,65351,ATTACK
11497,376,457,127,19952,476,244,8717,62362,62212,BENIGN
62083,1131,1460,483,229404,1339,1340,56350,65350,65062,ATTACK
76564,1094,1335,336,225213,1672,1147,75650,65386,65448,ATTACK
11814,255,504,90,7234,467,217,8409,60105,58786,BENIGN
79562,1168,1679,468,167507,1954,1100,52435,65364,65103,ATTACK
41343,1425,1488,487,145322,1783,1231,66234,65034,65232,ATTACK
55022,1127,1288,336,182245,1417,931,52688,65159,65154,ATTACK
11572,299,490,126,15574,372,239,7452,62526,63561,BENIGN
8926,300,398,146,9541,365,340,7458,63613,64342,BENIGN
12829,387,386,92,21901,402,243,11532,64246,58923,BENIGN
59978,982,1543,540,115774,1476,1232,43957,65489,65128,ATTACK
12779,318,535,139,11957,398,305,13985,61687,64465,BENIGN
79437,1164,1654,403,265511,1200,847,78106,65267,65145,ATTACK
13987,341,425,103,8890,544,228,9768,60793,59339,BENIGN
12811,319,450,138,6900,542,246,7939,64477,64637,BENIGN
40329,839,1969,409,286974,1922,1105,73228,65051,65389,ATTACK
9976,390,432,85,8977,382,263,10514,62972,60023,BENIGN
67138,1385,1519,338,173095,1346,1292,78007,65361,65330,ATTACK
11938,364,423,137,14998,547,318,9783,64335,64022,BENIGN
42044,927,1209,318,255145,1587,1168,73733,65332,65230,ATTACK
51046,936,1640,485,275409,1705,1148,53410,65428,65220,ATTACK
65193,912,1926,579,246473,1567,1396,62731,65002,65047,ATTACK
42503,1060,1938,303,203900,1238,1216,61606,65408,65347,ATTACK
10258,234,488,88,6883,508,209,7441,62867,63627,BENIGN
12478,238,523,85,14488,441,212,10336,62411,59374,BENIGN
12124,271,452,126,24740,483,273,8820,63683,63339,BENIGN
41159,972,1250,576,196523,1363,1252,57705,65308,65497,ATTACK
9483,353,396,100,21284,477,327,9036,65059,59496,BENIGN
11488,286,514,139,17005,381,240,7668,61363,58630,BENIGN
71092,1423,1662,362,222778,1502,1296,65366,65174,65304,ATTACK
12197,352,384,112,10036,470,249,9427,64286,64695,BENIGN
66045,1107,1432,548,207824,1620,1082,70099,65282,65509,ATTACK
65307,1140,1764,485,144517,1464,1396,56671,65520,65189,ATTACK
10708,336,488,99,22210,514,268,12050,62498,63958,BENIGN
14793,319,537,126,17591,419,276,7748,61196,62697,BENIGN
62670,1342,1406,590,230147,1563,854,50906,65370,65341,ATTACK
12985,212,365,141,16213,516,207,12411,61346,59053,BENIGN
13510,290,507,95,22778,471,203,13232,60129,64406,BENIGN
12654,224,425,111,6321,460,255,12650,62232,64041,BENIGN
61401,1249,1805,388,155384,1425,980,65935,65487,65273,ATTACK
11522,231,416,102,22658,391,266,13329,62933,58359,BENIGN
14710,337,444,84,19357,503,206,13862,65033,61306,BENIGN
9278,381,547,96,13716,404,207,13354,64275,64449,BENIGN
12542,377,438,97,18593,388,206,9960,62124,63396,BENIGN
14965,383,475,108,21960,441,339,9924,65022,62990,BENIGN
64256,1285,1285,311,219463,1823,869,67309,65041,65014,ATTACK
55781,1412,1210,407,216097,1549,1226,46252,65213,65515,ATTACK
79096,976,1598,407,126853,1666,1363,70983,65261,65102,ATTACK
56766,1323,1960,357,227497,1711,825,65862,65361,65481,ATTACK
8141,294,358,127,13518,444,238,12950,63159,61018,BENIGN
8508,343,442,86,20249,528,274,10089,62240,64699,BENIGN
10278,253,531,85,15737,496,246,13487,65125,64274,BENIGN
9782,239,432,109,15231,548,284,8877,60227,63058,BENIGN
13898,364,484,102,6545,413,329,12709,61845,61291,BENIGN
13431,299,381,137,13395,503,201,10762,64616,60119,BENIGN
14088,373,384,86,18977,371,265,13156,61611,64742,BENIGN
42894,1444,1216,569,112392,1204,808,56494,65481,65337,ATTACK
12125,239,496,112,9034,439,257,11382,61150,64159,BENIGN
67921,1135,1318,509,188757,1637,1381,46191,65218,65022,ATTACK
10561,309,407,95,22361,499,240,8209,62733,59651,BENIGN
14774,280,430,117,8307,378,245,7791,61437,64065,BENIGN
69869,1135,1822,542,164801,1692,1139,76874,65507,65227,ATTACK
12495,207,548,122,14020,462,301,8886,63793,58281,BENIGN
59659,1204,1607,478,146179,1251,1017,75111,65182,65140,ATTACK
51773,1385,1626,495,139415,1734,907,67006,65296,65091,ATTACK
8996,319,370,147,9800,526,324,12001,61957,61621,BENIGN
64048,1457,1961,415,192800,1928,1063,70724,65241,65182,ATTACK
14659,322,541,143,12891,489,246,7616,62275,62939,BENIGN
13204,381,501,118,18922,505,314,11999,61769,60632,BENIGN
47667,1232,1782,445,251814,1332,872,73591,65148,65091,ATTACK
60044,1476,1231,376,198288,1238,1088,49888,65061,65046,ATTACK
12578,345,508,138,11214,509,203,10470,61982,61115,BENIGN
63478,1260,1953,404,108213,1671,1150,64308,65408,65281,ATTACK
44954,1424,1508,540,209437,1464,1108,49672,65053,65320,ATTACK
11170,392,368,115,20851,541,276,10123,64105,62358,BENIGN
11274,217,481,133,24755,403,333,11461,60767,63213,BENIGN
14159,201,473,114,17557,505,344,11292,61605,61651,BENIGN
40244,940,1433,383,139564,1308,817,53627,65218,65351,ATTACK
40848,1094,1802,568,148866,1811,1356,46751,65279,65018,ATTACK
14567,320,351,119,9503,388,219,10640,60318,61803,BENIGN
41309,1484,1223,478,212335,1566,912,69619,65256,65343,ATTACK
61554,1075,1538,566,218061,1729,1384,66736,65120,65530,ATTACK
11829,337,352,135,12999,540,324,7855,64249,62138,BENIGN
40911,925,1601,340,267060,1227,1186,69991,65085,65375,ATTACK
53303,1280,1478,560,104310,1379,957,66868,65155,65182,ATTACK
10609,206,540,104,9863,473,243,10146,60327,58976,BENIGN
55935,1153,1426,562,293051,1771,940,63904,65447,65223,ATTACK
51409,1091,1385,328,132962,1260,868,57033,65380,65228,ATTACK
73228,1097,1657,480,271340,1256,932,76238,65231,65194,ATTACK
45946,1279,1663,384,216136,1875,847,66585,65101,65189,ATTACK
48745,1440,1886,520,245460,1411,1397,72357,65094,65478,ATTACK
10186,226,452,91,10111,547,269,12539,64890,64980,BENIGN
11539,366,372,144,18138,421,200,9251,61079,64517,BENIGN
68785,1019,1236,407,177985,1349,1030,75032,65210,65379,ATTACK
11911,267,471,129,23627,400,258,12327,65101,60412,BENIGN
9186,368,494,120,16413,386,296,8533,65273,61636,BENIGN
51433,1477,1664,302,158509,1440,1042,71983,65319,65183,ATTACK
11162,369,516,138,6244,485,302,9307,64182,61585,BENIGN
11278,282,452,114,7925,503,333,13655,61837,60158,BENIGN
67205,1277,1744,436,144774,1997,1099,64978,65056,65192,ATTACK
67917,1425,1844,423,225475,1445,1087,72732,65489,65134,ATTACK
12655,332,497,139,14583,388,226,13625,64643,58575,BENIGN
47490,1389,1308,421,216938,1852,999,42131,65101,65192,ATTACK
9330,343,430,107,15694,372,221,8707,62719,61549,BENIGN
13914,290,405,88,13998,400,300,8900,65435,59602,BENIGN
42371,889,1584,363,178088,1911,1059,53117,65406,65483,ATTACK
77048,1495,1360,537,228083,1433,958,66281,65533,65257,ATTACK
45460,1074,1843,432,104675,1633,968,71416,65534,65101,ATTACK
68752,962,1497,378,199763,1453,808,64218,65013,65182,ATTACK
46200,1122,1489,402,224763,1726,1191,74957,65129,65376,ATTACK
8478,264,401,99,16961,512,312,7901,61567,59793,BENIGN
67946,1034,1506,318,219342,1494,1031,64945,65304,65036,ATTACK
9459,242,480,142,11934,469,273,10773,61542,61366,BENIGN
58344,1251,1854,308,215632,1340,1056,76485,65346,65472,ATTACK
8817,236,540,121,6414,424,330,9103,64025,58501,BENIGN
9310,375,530,89,21250,484,238,12234,64870,60277,BENIGN
56262,1481,1283,349,245381,1689,1172,56638,65329,65243,ATTACK
13031,246,395,124,12772,471,231,8959,61457,61629,BENIGN
52452,879,1600,336,290769,1988,875,56132,65309,65496,ATTACK
12155,246,415,98,18668,352,240,12512,63487,59072,BENIGN
54555,1309,1747,564,235035,1614,1175,56501,65039,65020,ATTACK
10868,268,533,144,22509,452,211,9133,60844,62864,BENIGN
13060,342,466,85,6055,432,238,13397,63586,61494,BENIGN
72513,1346,1786,489,126906,1691,1242,54763,65101,65364,ATTACK
13657,295,394,103,16435,541,292,9347,61904,64770,BENIGN
51753,825,1215,435,203866,1886,1204,50404,65349,65041,ATTACK
9243,279,512,104,24013,442,220,7612,64233,61340,BENIGN
65679,1451,1488,545,280878,1943,1369,57133,65507,65465,ATTACK
9959,376,515,120,12541,350,304,7518,61029,60090,BENIGN
14050,392,510,125,23210,362,273,8436,64454,63130,BENIGN
10652,348,535,124,14337,411,325,13340,64490,60031,BENIGN
13550,348,425,82,14064,522,330,7975,61928,61283,BENIGN
43823,1212,1824,542,134990,1768,1392,60199,65192,65402,ATTACK
79009,923,1870,529,279968,1369,1195,41751,65119,65096,ATTACK
8539,378,490,99,12068,470,314,9697,61493,60283,BENIGN
53997,967,1658,373,249530,1415,809,74894,65191,65229,ATTACK
46664,1402,1976,361,195930,1934,911,71435,65435,65255,ATTACK
14360,391,504,140,21209,384,252,12438,65043,61205,BENIGN
14202,221,506,122,15243,385,264,10970,63161,61192,BENIGN
62766,1284,1732,541,172204,1820,1084,44480,65441,65353,ATTACK
10517,389,487,139,23552,412,229,12382,60990,60425,BENIGN
8800,360,415,112,6046,412,231,7464,62586,61136,BENIGN
8127,329,460,80,21432,476,309,8401,62136,59660,BENIGN
12939,277,456,112,20200,440,328,10916,61940,60987,BENIGN
52491,811,1219,412,283305,1934,1229,53397,65451,65373,ATTACK
54130,1294,1712,351,203474,1979,1145,53312,65066,65200,ATTACK
9956,321,405,98,16946,492,246,13949,61049,64648,BENIGN
52733,1106,1991,341,213287,1220,890,75439,65331,65003,ATTACK
77497,990,1400,578,265149,1744,1223,77806,65358,65079,ATTACK
79805,1140,1317,417,249482,1311,1367,65542,65411,65534,ATTACK
9862,210,475,108,22324,490,319,7738,60742,63682,BENIGN
50925,934,1650,426,165371,1888,813,51512,65199,65468,ATTACK
12853,393,542,128,10867,350,214,13536,62550,58954,BENIGN
14897,229,357,98,12897,519,266,7315,63601,61285,BENIGN
49646,1131,1274,530,116215,1427,1226,74257,65311,65243,ATTACK
67068,1355,1512,542,225742,1769,858,46590,65277,65276,ATTACK
13432,331,535,147,16238,528,302,10386,62666,58334,BENIGN
63399,1106,1881,337,241421,1493,1244,67740,65447,65177,ATTACK
12030,248,512,85,9023,443,343,12067,65487,63077,BENIGN
8448,275,401,90,11350,442,273,12161,64234,64046,BENIGN
61583,899,1829,377,173170,1470,1344,60174,65141,65030,ATTACK
12767,295,530,84,10524,365,343,10562,62217,64412,BENIGN
10496,259,538,123,24706,489,277,7609,61685,60336,BENIGN
79761,1366,1504,312,191130,1348,1371,63823,65446,65033,ATTACK
69760,1428,1727,365,236084,1533,984,47801,65250,65415,ATTACK
61566,1120,1607,307,252521,1932,897,77275,65017,65253,ATTACK
40561,1036,1973,452,232307,1834,1069,60844,65473,65319,ATTACK
70451,1173,1353,503,293279,1962,1248,79423,65372,65392,ATTACK
8102,285,378,109,8553,515,251,13148,64768,60789,BENIGN
13287,374,358,127,20643,472,238,10458,65119,61230,BENIGN
10493,207,444,138,12528,384,286,7164,62613,63355,BENIGN
11465,264,487,133,15824,491,264,10647,62174,64603,BENIGN
12531,275,528,115,23945,452,231,8975,65349,58391,BENIGN
75622,1071,1923,384,165323,1345,1231,66115,65030,65367,ATTACK
14106,331,413,118,10856,422,226,8040,65178,64943,BENIGN
9815,206,371,88,15537,403,331,8917,61362,58870,BENIGN
9318,283,388,82,10071,397,251,11316,63670,62772,BENIGN
14423,241,485,121,6275,538,264,12643,65479,62263,BENIGN
10788,252,444,133,11144,480,226,7364,65165,61812,BENIGN
66684,903,1467,340,160606,1871,857,51554,65271,65415,ATTACK
75841,1282,1842,480,223785,1418,999,44760,65170,65314,ATTACK
14417,299,362,130,20983,547,285,10258,61080,59694,BENIGN
62343,878,1962,449,145968,1339,850,68252,65495,65193,ATTACK
51165,937,1654,481,267535,1878,1129,46870,65359,65208,ATTACK
78567,1380,1548,582,210918,1441,1263,75491,65307,65124,ATTACK
54725,1269,1742,344,162417,1950,1048,78657,65002,65060,ATTACK
10532,224,357,97,17846,365,276,7946,61970,60214,BENIGN
48605,1055,1459,446,212321,1752,1341,57712,65449,65427,ATTACK
79788,1306,1684,496,138787,1787,1361,70240,65012,65316,ATTACK
55632,1409,1942,556,199098,1820,937,40542,65119,65491,ATTACK
12268,267,371,144,11524,490,243,11601,62606,63626,BENIGN
44818,1110,1984,325,174442,1790,1248,40530,65018,65514,ATTACK
8865,214,422,105,17078,396,211,12232,62555,63090,BENIGN
42477,1129,1496,591,277780,1839,1161,78007,65088,65372,ATTACK
60766,1180,1608,566,111538,1969,920,59350,65051,65177,ATTACK
54872,1227,1392,328,203364,1585,848,56095,65493,65384,ATTACK
52441,842,1732,551,280506,1228,1023,56243,65379,65127,ATTACK
48777,1015,1329,410,203845,1306,1206,49641,65219,65042,ATTACK
11664,392,383,88,20146,476,271,11238,61424,60140,BENIGN
70390,951,1432,593,177138,1304,850,46407,65218,65343,ATTACK
51306,1452,1570,561,105394,1659,1099,62440,65179,65390,ATTACK
65409,889,1234,469,120571,1925,1083,66968,65280,65379,ATTACK
12746,275,492,134,20852,432,201,8162,64399,62888,BENIGN
9845,399,495,125,13203,526,266,7664,63015,59059,BENIGN
13961,284,467,120,10336,515,219,9013,64030,60402,BENIGN
10298,371,487,134,11629,509,258,11785,62949,60539,BENIGN
10182,206,425,129,12349,461,329,10237,61743,61846,BENIGN
11619,384,355,125,16624,424,320,10426,65086,60128,BENIGN
12417,289,523,91,11924,372,215,7649,61939,58970,BENIGN
67159,1279,1699,584,201934,1472,1208,65926,65088,65354,ATTACK
14815,354,464,129,19185,373,334,13606,60874,58401,BENIGN
11325,209,461,85,6495,421,204,10917,61521,59467,BENIGN
10445,211,446,129,9599,406,247,11165,60037,64047,BENIGN
76770,1369,1855,454,237988,1461,1044,59173,65067,65079,ATTACK
57155,1133,1421,544,162819,1676,1281,72745,65476,65048,ATTACK
73362,939,1281,488,116320,1607,1164,65306,65492,65429,ATTACK
49795,1109,1719,484,286431,1963,1146,56344,65339,65396,ATTACK
64844,1243,1446,393,278123,1806,928,40704,65110,65017,ATTACK
13034,219,386,128,13784,435,298,13656,61196,61901,BENIGN
9189,331,504,82,7850,431,249,8288,61160,61198,BENIGN
65299,1498,1401,450,178628,1527,1022,69881,65076,65455,ATTACK
13203,235,477,112,8158,397,349,8350,64738,59415,BENIGN
10134,282,548,117,14239,406,280,9807,60984,61831,BENIGN
9391,330,375,92,15845,458,280,12830,64414,62061,BENIGN
79547,1294,1983,549,148921,1274,1285,57459,65479,65442,ATTACK
78672,1166,1244,355,246156,1636,833,61086,65391,65104,ATTACK
11934,263,496,84,8871,542,225,7112,60627,63979,BENIGN
10828,385,471,89,13471,507,349,12298,60066,63066,BENIGN
12099,378,473,130,21010,510,243,7671,64460,58167,BENIGN
10662,349,365,122,15028,459,327,9475,63280,64058,BENIGN
11124,316,381,89,16461,500,224,10029,60413,58513,BENIGN
13380,232,510,139,8472,428,223,7401,64693,61810,BENIGN
12486,245,369,148,11280,537,340,13374,60811,63309,BENIGN
14055,292,549,83,16759,513,244,9329,64825,58005,BENIGN
12199,382,441,132,22254,455,318,13320,63205,63229,BENIGN
8506,212,431,82,13091,521,253,13923,61341,62512,BENIGN
72328,941,1856,337,257603,1926,1017,76911,65108,65454,ATTACK
8300,274,492,100,6917,373,279,11686,62713,64731,BENIGN
12560,333,526,143,20193,372,284,8311,63475,59634,BENIGN
12700,224,436,122,12405,526,225,8554,61925,62803,BENIGN
49562,1363,1813,564,220282,1416,1101,60525,65053,65467,ATTACK
11397,394,496,105,14516,448,272,7554,63332,62643,BENIGN
12243,392,461,145,18688,398,204,11433,62859,64910,BENIGN
72955,1477,1284,409,224950,1894,1375,46075,65428,65118,ATTACK
78358,1149,1779,398,254993,1458,1334,70012,65190,65494,ATTACK
11711,299,444,144,6024,486,280,7884,64578,61649,BENIGN
41461,919,1273,388,288565,1915,946,73963,65236,65229,ATTACK
10261,238,367,121,15929,396,236,8499,63524,64219,BENIGN
55468,1137,1801,377,102204,1626,973,77643,65335,65075,ATTACK
51321,904,1364,397,164860,1737,801,72969,65051,65508,ATTACK
14651,377,486,86,15672,356,302,8021,61064,63530,BENIGN
14551,246,539,138,13853,540,337,11642,64179,61775,BENIGN
48601,1164,1941,563,234668,1450,1296,54028,65036,65518,ATTACK
70147,882,1835,500,137079,1491,1086,51859,65004,65284,ATTACK
59849,820,1664,436,189091,1366,1333,79014,65310,65529,ATTACK
8488,297,469,115,11190,490,224,11334,61822,60224,BENIGN
60638,1470,1985,582,101401,1221,1275,66624,65327,65150,ATTACK
8732,307,516,90,6703,544,253,13228,61748,62708,BENIGN
8269,325,403,96,15521,445,237,9653,63346,64088,BENIGN
76883,949,1991,376,175679,1380,986,64282,65504,65290,ATTACK
9321,225,485,86,8618,353,279,13027,63218,64865,BENIGN
8491,353,359,103,11672,535,342,11296,62227,63208,BENIGN
12602,351,505,101,10307,435,328,13365,62893,64170,BENIGN
10022,270,546,132,6782,381,347,7963,61488,58545,BENIGN
49601,1009,1347,365,241710,1748,1062,58704,65392,65135,ATTACK
63667,1365,1296,529,155066,1572,971,45846,65419,65020,ATTACK
14980,367,521,147,15300,439,225,10820,62937,62976,BENIGN
10626,348,512,93,21063,397,216,8355,64763,58049,BENIGN
10048,397,473,100,10454,452,326,8964,63414,61088,BENIGN
12534,264,459,131,19159,403,300,8565,63039,58274,BENIGN
14156,214,469,95,22157,507,265,7134,62362,63984,BENIGN
10509,353,478,149,23758,529,335,13913,60761,61116,BENIGN
11185,221,423,99,15192,350,201,11682,64268,63226,BENIGN
54744,1129,1559,397,292337,1936,1103,57199,65368,65423,ATTACK
11846,293,537,100,12845,357,201,13249,64963,63348,BENIGN
9127,369,386,122,21469,543,320,12290,63716,59386,BENIGN
10172,381,422,89,8159,477,324,11127,62282,59852,BENIGN
9635,218,455,115,14615,530,255,7640,62861,64549,BENIGN
10813,242,448,94,20721,537,215,10253,65137,60923,BENIGN
54927,965,1243,416,196938,1552,971,65652,65248,65161,ATTACK
53836,1475,1850,570,164259,1835,978,64546,65048,65135,ATTACK
11417,365,430,146,13605,520,311,13253,61149,64774,BENIGN
